ID_NIFC,Place_name
1,Paryż
5,Aix-en-Provence
52,Majorka
68,Paryż
69,Warszawa
70,Nohant
71,Bordeaux
73,Lipsk
74,Cambrai
76,Akwizgran
77,Hamburg
78,Wiedeń
79,Neapol
80,Poznań
81,Drezno
82,Orlean
83,Berlin
84,Fontainebleau
86,Lyon
87,Mediolan
88,La Châtre
89,Besançon
90,Guillery
91,Nowy Jork
92,Londyn
93,Edynburg
94,Glasgow
95,Keir
96,Heidelberg
98,Moskwa
99,Sokołowo
100,Kowalewo
101,Biskupiec
102,Żelazowa Wola
103,Reinertz [Duszniki]
104,Praga
105,Frankfurt
106,Tours
107,Karlsbad
108,Bruksela
109,Służewo
110,Valmont
111,Palma
112,Marsylia
113,Poturzyn
114,Stuttgart
115,Monachium
116,Genewa
117,Ryga
118,Saragossa
119,Saint-Gratien
121,Perpignan
122,Valdemosa koło Palmy
123,Pęcice
124,Wrocław
125,Croissy
126,Szafarnia
127,Chaillot
129,Champrosay
130,Düsseldorf
137,Kolonia
139,Kraków
141,Petersburg
142,Bazylea
154,Chicago
157,Antonin
195,Würzburg
203,Wilno
210,Florencja
212,Kijów
213,Kaszyn
214,Dynaburg
215,Ciechomicze
216,Lucyn
217,Sudyłków
218,Dubiśne
219,Busko
220,Newel
221,Ciechocinek
222,Witebsk
223,Aleksandrowo
224,Nałęczów
225,Szczawnica
226,Keśmark
227,Zakopane
228,Rudnia
229,Chroliny
230,Nieżyn
231,Chrolin
232,Zasław
233,Strasburg
234,Nantes
235,Schwerin
236,Bukareszt
237,Newcastle
238,Montreal
239,Amphion
240,Dublin
241,Leeds
242,Genua
243,Brighton
244,Riond-Bosson
245,Boston
271,Krzemieniec